ts,posx_gt,posy_gt,posx_meas,posy_meas,velx,vely
7.000000000000000666e-01,-4.825512976087933836e+00,1.276436688520903040e+01,-4.444651389957997800e+00,1.365636347995132382e+01,-1.064520077249787278e+01,3.031567962133355110e+00
7.099999999999999645e-01,-4.961058890433753810e+00,1.293441513036733070e+01,-5.705356301329760349e+00,1.120504867616994460e+01,-2.020856922844846792e+01,1.297587276800504341e+00
7.199999999999999734e-01,-5.098382858561637754e+00,1.310394902622259039e+01,-4.740231588783345273e+00,1.264433342261362903e+01,-1.137552928168664401e+01,1.870143268261470126e+01
7.299999999999999822e-01,-5.237479459156459960e+00,1.327296187986688913e+01,-3.204996475289773716e+00,1.429593932449516203e+01,-2.072538171517260963e+01,9.262304908336480125e+00
7.399999999999999911e-01,-5.378343200922601319e+00,1.344144701896215999e+01,-5.293310439124578437e+00,1.257943050592742829e+01,-2.541485000207552503e+01,1.628374352096302502e+01
7.500000000000000000e-01,-5.520968522800733247e+00,1.360939779200360533e+01,-6.035190655677160620e+00,1.402180941576513895e+01,-2.973907217155991134e+01,2.941204242285327553e+01
7.600000000000000089e-01,-5.665349794187362065e+00,1.377680756858228328e+01,-6.771523448683831603e+00,1.592151571503534058e+01,-2.124313674611092395e+01,2.643855177534208067e+00
7.700000000000000178e-01,-5.811481315157113414e+00,1.394366973964686451e+01,-5.781635646006282769e+00,1.455176008601119975e+01,-1.508018794041914212e+01,4.663506606869919580e+00
7.800000000000000266e-01,-5.959357316687756700e+00,1.410997771776455068e+01,-6.738678668678330652e+00,1.632850372146983986e+01,-3.136340661169079169e+01,2.430825175258542359e+00
7.900000000000000355e-01,-6.108971960887956243e+00,1.427572493738113124e+01,-6.093852590300390837e+00,1.384995681063524664e+01,-6.347929077406991638e+00,1.773769440537436637e+01
8.000000000000000444e-01,-6.260319341227740253e+00,1.444090485508017885e+01,-6.859307204579830675e+00,1.355722352695495836e+01,-6.617474868750967687e+00,2.421162221476621568e+01
8.100000000000000533e-01,-6.413393482771680532e+00,1.460551094984137777e+01,-5.837395243353001639e+00,1.558708133104695648e+01,-6.099701744415570559e+00,1.869777241915487309e+01
